[2025-01-23 20:13:15,071 : INFO :main : welcome to the custom logs]
[2025-01-24 08:37:43,168 : INFO :main : the stage ingestion has started]
[2025-01-24 08:37:43,170 : INFO :com : loaded the yaml file from <_io.TextIOWrapper name='config\\config.yaml' mode='r' encoding='cp1252'>]
[2025-01-24 08:37:43,171 : INFO :com : loaded the yaml file from <_io.TextIOWrapper name='schema.yaml' mode='r' encoding='cp1252'>]
[2025-01-24 08:37:43,172 : INFO :com : loaded the yaml file from <_io.TextIOWrapper name='params.yaml' mode='r' encoding='cp1252'>]
[2025-01-24 08:37:43,173 : INFO :com : created the file artifact]
[2025-01-24 08:37:43,173 : INFO :com : created the file artifacts/data_ingestion]
[2025-01-24 08:37:43,174 : INFO :ingestion : unable to download the file]
[2025-01-24 08:37:43,180 : INFO :main : the state ingestion execution is comppleted]
[2025-01-24 08:37:57,916 : INFO :main : the stage ingestion has started]
[2025-01-24 08:37:57,918 : INFO :com : loaded the yaml file from <_io.TextIOWrapper name='config\\config.yaml' mode='r' encoding='cp1252'>]
[2025-01-24 08:37:57,919 : INFO :com : loaded the yaml file from <_io.TextIOWrapper name='schema.yaml' mode='r' encoding='cp1252'>]
[2025-01-24 08:37:57,923 : INFO :com : loaded the yaml file from <_io.TextIOWrapper name='params.yaml' mode='r' encoding='cp1252'>]
[2025-01-24 08:37:57,925 : INFO :com : created the file artifact]
[2025-01-24 08:37:57,927 : INFO :com : created the file artifacts/data_ingestion]
[2025-01-24 08:38:00,202 : INFO :ingestion : the file artifacts/data_ingestion/data.zip has been downloaded into artifacts/data_ingestion/data.zip]
[2025-01-24 08:38:00,233 : INFO :main : the state ingestion execution is comppleted]
[2025-01-24 08:38:59,958 : INFO :main : the stage ingestion has started]
[2025-01-24 08:38:59,961 : INFO :com : loaded the yaml file from <_io.TextIOWrapper name='config\\config.yaml' mode='r' encoding='cp1252'>]
[2025-01-24 08:38:59,963 : INFO :com : loaded the yaml file from <_io.TextIOWrapper name='schema.yaml' mode='r' encoding='cp1252'>]
[2025-01-24 08:38:59,965 : INFO :com : loaded the yaml file from <_io.TextIOWrapper name='params.yaml' mode='r' encoding='cp1252'>]
[2025-01-24 08:38:59,968 : INFO :com : created the file artifact]
[2025-01-24 08:38:59,969 : INFO :com : created the file artifacts/data_ingestion]
[2025-01-24 08:38:59,970 : INFO :ingestion : unable to download the file]
[2025-01-24 08:38:59,983 : INFO :main : the state ingestion execution is comppleted]
[2025-01-24 08:39:26,036 : INFO :main : the stage ingestion has started]
[2025-01-24 08:39:26,038 : INFO :com : loaded the yaml file from <_io.TextIOWrapper name='config\\config.yaml' mode='r' encoding='cp1252'>]
[2025-01-24 08:39:26,040 : INFO :com : loaded the yaml file from <_io.TextIOWrapper name='schema.yaml' mode='r' encoding='cp1252'>]
[2025-01-24 08:39:26,040 : INFO :com : loaded the yaml file from <_io.TextIOWrapper name='params.yaml' mode='r' encoding='cp1252'>]
[2025-01-24 08:39:26,041 : INFO :com : created the file artifact]
[2025-01-24 08:39:26,042 : INFO :com : created the file artifacts/data_ingestion]
[2025-01-24 08:39:27,305 : INFO :ingestion : the file artifacts/data_ingestion/data.zip has been downloaded into artifacts/data_ingestion/data.zip]
[2025-01-24 08:39:27,329 : INFO :main : the state ingestion execution is comppleted]
